x,y,z
4.86373,-0.71349,3.7481
-6.21047,-8.28578,-0.35871
-5.39989,-1.6652,0.69141
8.3832,-10.18437,4.83088
7.44372,-2.52412,-1.54195
3.32688,-0.69921,2.81725
7.19169,6.98665,-2.09114
-3.06132,-5.40677,-0.37034
5.39267,-5.99167,-1.39621
-1.4853,-9.8576,5.85546
-3.72335,-0.24391,-0.91057
6.51886,-5.71632,1.75518
8.69721,5.28947,-1.90522
3.29934,6.7544,3.42062
5.98663,-4.99047,0.80038
1.01266,-8.17919,4.94688
-5.80821,-3.93083,-0.41759
-2.46285,-7.12236,-2.0648
-4.88557,-1.26349,-4.77449
2.66174,-4.75707,-1.42158
-1.57978,9.19826,1.9546
8.42991,7.1943,0.60826
-8.73144,-9.86567,2.54112
7.96113,6.70076,-1.46144
-7.23496,-1.15239,1.71275
-1.05094,-9.46649,2.08041
-1.67912,5.52969,2.06631
-5.29416,5.85495,-0.68461
3.284,3.55058,-4.04183
-10.0066,6.44895,-2.27316
-11.78814,4.42617,-0.47429
-6.03827,-7.69044,-1.67759
-7.04846,6.29976,-3.75946
-11.33061,7.13249,2.71855
6.07694,3.69586,-1.8582
-7.8507,2.36918,-0.81388
7.01766,6.9672,2.12869
-5.62176,7.65456,-7.99565
0.78564,10.15348,0.96973
0.72351,-4.03384,-1.92372
7.37707,-7.31697,-2.39519
-11.29478,-5.81014,0.1289
-3.7331,-5.13558,0.05168
6.19325,-0.48963,-0.65845
9.53313,-0.29996,-0.19255
6.51514,8.9068,1.05435
-7.46536,-8.41124,3.09937
7.38281,7.53767,-1.2371
6.43853,1.81583,-3.60677
2.13963,-6.78357,2.77551
8.06617,4.11063,-1.50476
5.48451,-5.09227,2.31583
9.11361,7.38332,4.5622
7.43069,4.84767,4.85509
-3.92436,-12.69088,3.21566
-8.70075,2.78258,-0.93876
7.05453,4.60556,0.51019
10.5087,-10.41882,5.72948
5.75092,-2.37832,-1.34193
-7.87609,-6.26268,-3.21669
-9.38474,-11.16554,3.26882
-10.87863,11.89142,4.84955
-3.52679,-8.03367,-5.7761
6.06861,5.06569,-3.06109
-7.83718,-3.4645,-0.69982
-4.65787,-1.21904,0.55351
0.68544,-5.67217,2.79838
5.76395,10.28513,-0.9269
-1.54687,-6.84507,-5.14638
-11.67302,-2.38336,3.3795
-8.38709,-6.05588,5.68566
-4.55191,-5.35749,-8.78794
11.20731,-2.70286,1.38302
-0.00733,2.35216,1.33868
5.80472,-8.81552,-1.77586
3.0141,-7.2051,-1.44819
4.01063,-7.512,-1.50437
1.29131,2.07151,-0.77277
-4.46611,8.8175,0.94522
-9.69106,-4.49261,-0.09588
4.53793,-1.50809,2.49074
-1.64195,-11.6285,0.71743
-3.41422,-6.31828,-4.0248
-5.53916,-9.41079,-1.38313
8.71472,-10.02782,0.46274
5.80684,9.19411,6.85338
5.27329,7.72342,5.87826
-7.71411,-3.8208,-0.03578
5.73011,-6.90422,4.75475
3.09291,7.32718,2.08642
-9.82045,10.50775,7.25418
-8.33152,-2.62283,3.15845
7.54212,-5.05298,-0.83067
4.61621,12.75265,-2.71637
-10.7213,12.83886,0.53928
6.76669,6.56774,5.91049
-5.27184,6.42699,0.98643
12.97014,6.71158,1.01909
4.95276,-4.70835,3.04038
-7.16796,-3.20493,4.00762
-8.4821,0.74773,5.35124
-6.76705,-10.88506,2.6932
7.50335,2.45693,-2.89015
3.82406,12.64545,3.85839
-8.46526,-0.48679,-2.25978
-7.14952,7.7391,3.02717
4.65587,-7.32076,2.15014
4.45435,10.40698,-0.38033
-10.96506,-7.98248,-1.65393
-6.68008,3.14052,3.72758
4.88624,5.08549,-1.87185
-5.99262,9.2267,-0.84489
